rho,rho_regime,R,alpha,delta,p_filler,p_mid,B,floor,online,prize,prize_pct
1.25,tight,"(0, 1, 5)",0.2,2.0,0.6,0.35,3,1.745645,2.070631,0.324987,15.695
1.25,tight,"(0, 1, 5)",0.2,3.0,0.5,0.3,4,2.663773,3.112426,0.448654,14.4149
1.25,tight,"(0, 1, 5)",0.2,3.0,0.4,0.2,5,5.495936,6.039411,0.543475,8.9988
1.25,tight,"(0, 1, 5)",0.2,3.0,0.6,0.35,3,1.736532,2.041713,0.30518,14.9473
1.25,tight,"(0, 1, 5)",0.3,1.0,0.5,0.3,4,5.27713,5.856836,0.579706,9.8979
1.25,tight,"(0, 1, 5)",0.3,1.0,0.4,0.2,5,12.503059,13.179778,0.676719,5.1345
1.25,tight,"(0, 1, 5)",0.3,1.0,0.6,0.35,3,2.120578,2.395758,0.27518,11.4861
1.25,tight,"(0, 1, 5)",0.3,1.46,0.5,0.3,4,5.071594,5.653833,0.58224,10.2981
1.25,tight,"(0, 1, 5)",0.3,1.46,0.4,0.2,5,11.654646,12.268863,0.614217,5.0063
1.25,tight,"(0, 1, 5)",0.3,1.46,0.6,0.35,3,2.114562,2.39094,0.276378,11.5594
1.25,tight,"(0, 1, 5)",0.3,2.0,0.5,0.3,4,4.684098,5.201959,0.517861,9.9551
1.25,tight,"(0, 1, 5)",0.3,2.0,0.4,0.2,5,9.854351,10.379478,0.525127,5.0593
1.25,tight,"(0, 1, 5)",0.3,2.0,0.6,0.35,3,2.101432,2.380421,0.278989,11.7201
1.25,tight,"(0, 1, 5)",0.3,3.0,0.5,0.3,4,3.941548,4.350369,0.408821,9.3974
1.25,tight,"(0, 1, 5)",0.3,3.0,0.4,0.2,5,7.285965,7.873153,0.587187,7.4581
1.25,tight,"(0, 1, 5)",0.3,3.0,0.6,0.35,3,2.07738,2.361142,0.283761,12.018
1.25,tight,"(0, 2, 20)",0.1,1.0,0.5,0.3,4,4.682066,6.43125,1.749184,27.1982
1.25,tight,"(0, 2, 20)",0.1,1.0,0.4,0.2,5,31.852963,33.578308,1.725345,5.1383
1.25,tight,"(0, 2, 20)",0.1,1.0,0.6,0.35,3,2.695772,3.052697,0.356924,11.6921
1.25,tight,"(0, 2, 20)",0.1,1.46,0.5,0.3,4,4.329106,6.178317,1.849211,29.9307
