rho,rho_regime,R,alpha,delta,p_filler,p_mid,B,floor,online,prize,prize_pct
1.67,crisis,"(0, 5, 10)",0.3,1.0,0.5,0.3,3,14.756565,16.635144,1.878579,11.2928
1.67,crisis,"(0, 5, 10)",0.3,1.0,0.4,0.2,4,27.708838,28.831798,1.122959,3.8949
1.67,crisis,"(0, 5, 10)",0.3,1.0,0.6,0.35,2,8.60247,9.21058,0.60811,6.6023
1.67,crisis,"(0, 5, 10)",0.3,1.46,0.5,0.3,3,14.360608,16.299837,1.939229,11.8972
1.67,crisis,"(0, 5, 10)",0.3,1.46,0.4,0.2,4,26.137053,27.36877,1.231716,4.5004
1.67,crisis,"(0, 5, 10)",0.3,1.46,0.6,0.35,2,8.59154,9.203232,0.611693,6.6465
1.67,crisis,"(0, 5, 10)",0.3,2.0,0.5,0.3,3,13.49013,15.583305,2.093175,13.4322
1.67,crisis,"(0, 5, 10)",0.3,2.0,0.4,0.2,4,23.223669,24.859551,1.635882,6.5805
1.67,crisis,"(0, 5, 10)",0.3,2.0,0.6,0.35,2,8.567676,9.187183,0.619507,6.7432
1.67,crisis,"(0, 5, 10)",0.3,3.0,0.5,0.3,3,11.908885,14.255143,2.346259,16.459
1.67,crisis,"(0, 5, 10)",0.3,3.0,0.4,0.2,4,18.434811,20.692617,2.257806,10.9112
1.67,crisis,"(0, 5, 10)",0.3,3.0,0.6,0.35,2,8.523934,9.157741,0.633807,6.921
1.67,crisis,"(0, 1, 2)",0.1,1.0,0.5,0.3,3,2.03949,2.65625,0.61676,23.2192
1.67,crisis,"(0, 1, 2)",0.1,1.0,0.4,0.2,4,4.256905,4.751453,0.494548,10.4084
1.67,crisis,"(0, 1, 2)",0.1,1.0,0.6,0.35,2,1.161482,1.526348,0.364866,23.9045
1.67,crisis,"(0, 1, 2)",0.1,1.46,0.5,0.3,3,1.921897,2.596639,0.674742,25.9852
1.67,crisis,"(0, 1, 2)",0.1,1.46,0.4,0.2,4,3.860461,4.316525,0.456064,10.5655
1.67,crisis,"(0, 1, 2)",0.1,1.46,0.6,0.35,2,1.154924,1.521939,0.367016,24.115
1.67,crisis,"(0, 1, 2)",0.1,2.0,0.5,0.3,3,1.68041,2.460549,0.78014,31.7059
1.67,crisis,"(0, 1, 2)",0.1,2.0,0.4,0.2,4,3.092762,3.622896,0.530134,14.6329
1.67,crisis,"(0, 1, 2)",0.1,2.0,0.6,0.35,2,1.140606,1.51231,0.371704,24.5786
1.67,crisis,"(0, 1, 2)",0.1,3.0,0.5,0.3,3,1.5161,2.189819,0.673719,30.766
1.67,crisis,"(0, 1, 2)",0.1,3.0,0.4,0.2,4,2.165055,2.635858,0.470803,17.8615
1.67,crisis,"(0, 1, 2)",0.1,3.0,0.6,0.35,2,1.114361,1.494645,0.380284,25.4431
1.67,crisis,"(0, 1, 2)",0.2,1.0,0.5,0.3,3,2.519745,2.990543,0.470798,15.7429
1.67,crisis,"(0, 1, 2)",0.2,1.0,0.4,0.2,4,5.068355,5.375727,0.307372,5.7178
1.67,crisis,"(0, 1, 2)",0.2,1.0,0.6,0.35,2,1.580741,1.763174,0.182433,10.3469
