tier,rho,B,T,alpha,cvar_floor,cvar_neutral,cvar_best,cvar_online,prize_total_pct,prize_neutral_pct,prize_cvar_pct,eps_tie
normal,0.95,5,10,0.2,9.333650305199992,9.322618055904831,9.322618055904831,9.477241716100181,1.5151181662513942,1.6315259737722132,1.6315259737722132,1e-09
tight,1.25,4,10,0.2,8.21478148633227,8.180234387418764,8.180234387418764,8.961500184299371,8.332518915475317,8.718024670126011,8.718024670126011,1e-09
crisis,1.67,3,10,0.2,6.745468038328539,6.709923234877164,6.709923234877164,8.089838013891026,16.618008583782203,17.057384543972525,17.057384543972525,1e-09
