rho,T,B,rho_real,cvar_F,cvar_S,prize,pct_co,pct_cf,tail_red,mean_sac,mu_F,mu_S,resid,sec
1.0,8,4,1.0,6.151505800000006,6.317749000000006,0.16624320000000026,2.6313675962751937,2.7024797733263957,3.639480999999998,3.473237799999998,18.80673439999999,15.333496599999991,0.0,0.003461122512817383
1.0,12,6,1.0,13.379267458320005,13.62097420096001,0.24170674264000525,1.7745187610954412,1.8065768054416012,4.142050414648001,3.9003436720079954,28.893506512199977,24.99316284019198,0.0,0.007029056549072266
1.0,16,8,1.0,20.762191904825862,20.931973502646006,0.16978159782014401,0.8111112781538824,0.8177440927163419,6.414750051132049,6.244968453311905,39.04281284955316,32.79784439624125,0.0,0.013974666595458984
1.0,24,12,1.0,36.72483476856568,36.94326125437355,0.21842648580787483,0.5912485210872288,0.5947650607126358,8.318811695595123,8.100385209787248,59.44187318768278,51.34148797789553,0.0,0.03819608688354492
1.0,32,16,1.0,53.391526307281794,53.75269008244343,0.36116377516163567,0.6718989777212994,0.6764439980289128,9.809745509769208,9.448581734607572,79.91440783808154,70.46582610347397,0.0,0.08536076545715332
1.0,48,24,1.0,88.1704271711238,88.35447823983998,0.1840510687161725,0.2083098359955929,0.2087446716788166,13.02976590182827,12.845714833112098,120.97742409762839,108.13170926451629,0.0,0.3344299793243408
1.0,64,32,1.0,123.97105255752247,124.11306196262932,0.14200940510684745,0.1144193873402356,0.11455045526935025,15.747317519006998,15.60530811390015,162.1321730643429,146.52686495044276,0.0,0.9515228271484375
1.0,96,48,1.0,197.55159033109038,197.76893473280865,0.21734440171826463,0.10989815059271214,0.11001905950440698,20.421231854456295,20.20388745273803,244.59403155466887,224.39014410193084,0.0,3.950284004211426
1.0,128,64,1.0,272.6119290097186,272.77230154379976,0.16037253408114793,0.058793555347626265,0.058828142504149424,23.295899666375533,23.135527132294385,327.17694599057467,304.0414188582803,0.0,13.945919036865234
1.0,192,96,1.0,425.32513622305333,425.42124340018574,0.09610717713241002,0.022591062064572034,0.022596166778633207,30.249018083585668,30.152910906453258,492.5479043796803,462.39499347322703,0.0,62.15470790863037
