config,T,alpha,shape,pct_loose_d1,pct_tight_d1,pct_loose_d3,pct_tight_d3,regime_lift_loose,regime_lift_tight,S1,S2
base,10,0.2,"A(0,2,10)",2.0045264565204444,8.732919939095492,3.8551451694666365,14.414919373282906,0.05952421199999769,0.06152282699999567,True,True
alpha=0.1,10,0.1,"A(0,2,10)",6.548232230176949,19.17442612244895,0.8046173987395577,19.374915192433793,-0.4183543079999996,-0.3635550719999996,True,False
alpha=0.3,10,0.3,"A(0,2,10)",3.5793525259931687,9.89793443726463,1.96031451497732,9.39738745346598,-0.2621946386666725,-0.34176949933333844,True,False
T=8,8,0.2,"A(0,2,10)",2.63136759627518,12.345692349744368,8.11569480191668,32.919212486872006,0.21032399999999996,0.7769796999999952,True,True
T=12,12,0.2,"A(0,2,10)",1.7745187610954412,8.780177846896025,1.7596138624738349,7.9851880766140635,-0.07849085569000991,-0.4593260533900043,True,False
"shape=B(0,2,5)",10,0.2,"B(0,2,5)",0.6952476901820095,2.9303858494777515,0.9193656479184193,6.678423949994365,0.002175693000001644,0.18839813399999805,True,True
"shape=C(0,1,3)",10,0.2,"C(0,1,3)",1.4854940228423446,6.032691934118901,2.7472665891119328,9.587800870260612,0.026738387999999613,0.062051024999998816,True,True
